session,grade,problem_id,question
s3,10,5,"As a marketing coordinator, you are analysing the impact of advertising on product sales. You have observed that starting from an initial sales amount (without any advertising), each additional 1,000 TRY spent on advertising leads to an increase of 15 units in product sales. If you know that without any advertising, the sales are 100 units, formulate the linear function that describes this relationship.

a) Define the linear function f:A->S, where A is the amount spent on advertising (in thousand TRY) and S is the total number of units sold. Use the given initial sales and the rate of increase in sales with advertising expenditure to determine f(x).
b) Calculate the expected sales if 17,000 TRY is spent on advertising."
s3,11,1,"Consider the quadratic function f(x)=-2x^2+8x+3, which models the height (in meters) of a ball thrown upwards, with x representing the time in seconds after the ball has been thrown. Calculate the average rate of change of the ball's height over the interval from 2 seconds to 4 seconds."
s3,11,2,"Consider a parabola defined by the equation y=a*x^2+b*x+c, where a, b, and c are real numbers. This parabola intersects with the line y=6 at exactly one point. If the parabola intersects x-axis at x=-1 and x=5, then determine the signs (positive, negative, or zero) of the coefficients a, b, and c."
s3,11,3,"Consider the function F(S)=0.005S^2-0.6S+25, where  F(S) represents a vehicle's fuel consumption in litres per 100 kilometres and S is the speed of the vehicle in kilometres per hour. For speeds ranging from 50 to 100 km/h, calculate the minimum and maximum fuel consumption value."
s3,11,4,The line y=m*x-4 is tangent to the parabola y=x^2-x. Find the possible values of m.
s3,11,5,"Determine the area of triangle TAB formed by a quadratic function f(x)=a*x^2+b*x+c, where the vertex of the parabola is denoted as point T, the x-intercepts of the parabola are the points A(-2,0) and B(8,0), and the y-intercept of the parabola is (0,-16)."
s4,9,1,"For A and B natural numbers, if A is divided by 6, then the quotient is B and the remainder is 5. Suppose that if B is divided by 5, then the remainder is 4. Find the remainder when A is divided by 15."
s4,9,2,"Emre, a store manager, is entering the total sales and the number of items sold into the computer when he notices an error in the invoice. The total sales amount for a product, which is priced at _11 per unit, is incorrectly recorded as _27,360. This error is due to two consecutive digits being written in the wrong order. How many units were sold?"
s4,9,3,"A five-digit number is represented as a4c5c. If this number becomes divisible by 12 when 7 is added to it, what is the highest possible value for the sum of a+c?"
s4,9,4,"A school is planning to distribute 72 pencils and 90 notebooks among students in a class, ensuring each student gets the same number of pencils and the same number of notebooks without any leftovers. What is the maximum number of students that can be in the class?"
s4,9,5,"In a music school, two students are practicing their scales on different instruments. Alice practices her piano scales every 12 days, while Bob practices his violin scales every 18 days. They both had their first practice session on Tuesday. What will be the day of their 4th joint practice session?"
s4,11,1,"If a function f(x)=x^2-4x+5 is translated a units right and b units down, the resulting function is g(x)=x^2-6x+4. Find the value of a_b."
s4,11,2,"Describe, in order, a sequence of transformations that maps the graph of y=f(x) onto the graph y =-3f(x)+2."
s4,11,3,Suppose that 7/(x+1)-y=8 and x-5/(y+1)=6. Find the value of x+y.
s4,11,4,Suppose that x^2+y^2=11 and x/(x+y)+y/(x-y)=11/7. Find the possible y values that satisfied the system of the equations.
s4,11,5,"Elif is designing a rectangular playground. The length of the playground is y meters and the width is x meters. She plans to install a special rubber surface on the playground, which costs $30 per m^2. The diagonal of the playground is √500m. Elif had spent of $6000 for the rubber surface. What are the dimensions of the playground?"
s4,10,1,Let f(x)=1/(x^2-1) and g(x)=√(x+1) be given. Find the domain of f(g(x)).
s4,10,2,"A city's public transportation system includes a bus service and a subway. The expected number of people using the bus service on any given day can be modelled by the function B(d)=100*d-500, where d is the day of the month. The expected number of people using the subway depends on the expected number of bus users and can be modelled by the function S(p)=0.75*p+200, where p is the expected number of bus users. The city transportation department wants to create a composite function T(d) to directly relate the day of the month to the expected number of subway users. (a) Determine the explicit form of the composite function T(d). (b) Calculate the day of the month if the expected number of subway users is 950."
s4,10,3,"For the two functions f and g, composition of these functions is equal to their product (i.e., (f_g)(x)=f(x)*g(x)), and also f(x)=2*x-5. Find the value of g(3)."
s4,10,4,Suppose f^(-1)(x)=x^3 and g(x)=(2x-1)/(x+3) are two functions defined on their largest domain. Find (f_g)^(-1)(x).
s4,10,5,"Suppose f(x) is a linear function which is self-inverse (i.e., the inverse of f(x) is itself). If g(x) is the identity function and f(3)-g(2)=13, find f(x)."
